"id","age","learn_freq","totalmin","nbr_freq","nbr_id","mode"
120205,4,1,184,8,120248,"Vertical"
120205,4,0,184,9,120247,"Vertical"
120205,4,0,184,1,120221,"Oblique Intrafamilial"
120205,4,0,184,4,120259,"Oblique Extrafamilial"
120205,4,1,184,9,120253,"Horizontal Intrafamilial"
120205,4,0,184,14,120249,"Horizontal Intrafamilial"
120205,4,1,184,3,120204,"Horizontal Extrafamilial"
120205,4,1,184,1,120237,"Oblique Extrafamilial"
120205,4,0,184,2,140,"Oblique Extrafamilial"
120205,4,4,184,4,120203,"Horizontal Extrafamilial"
120205,4,0,184,1,120231,"Oblique Extrafamilial"
120205,4,0,184,2,120223,"Oblique Extrafamilial"
120205,4,1,184,1,120241,"Horizontal Extrafamilial"
120205,4,0,184,2,120,"Horizontal Extrafamilial"
120205,4,0,184,2,120225,"Horizontal Extrafamilial"
120205,4,2,184,5,120229,"Horizontal Extrafamilial"
120205,4,0,184,1,130,"Horizontal Extrafamilial"
120205,4,1,184,2,120224,"Horizontal Extrafamilial"
120205,4,0,184,3,120235,"Horizontal Extrafamilial"
120205,4,0,184,3,120238,"Oblique Extrafamilial"
120205,4,0,184,3,120208,"Horizontal Intrafamilial"
120205,4,0,184,1,220,"Horizontal Extrafamilial"
120205,4,2,184,4,120244,"Horizontal Extrafamilial"
120205,4,0,184,3,120206,"Horizontal Extrafamilial"
120205,4,1,184,1,120251,"Oblique Intrafamilial"
120205,4,1,184,2,120240,"Horizontal Extrafamilial"
120206,13,5,271,9,120238,"Oblique Extrafamilial"
120206,13,0,271,1,120227,"Oblique Extrafamilial"
120206,13,0,271,3,120257,"Oblique Intrafamilial"
120206,13,0,271,3,120252,"Oblique Extrafamilial"
120206,13,0,271,3,120208,"Horizontal Extrafamilial"
120206,13,0,271,12,120258,"Oblique Extrafamilial"
120206,13,1,271,7,120251,"Oblique Extrafamilial"
120206,13,0,271,10,120253,"Horizontal Extrafamilial"
120206,13,0,271,9,120240,"Horizontal Extrafamilial"
120206,13,0,271,11,120241,"Horizontal Extrafamilial"
120206,13,0,271,3,120229,"Horizontal Extrafamilial"
120206,13,0,271,8,120262,"Oblique Extrafamilial"
120206,13,0,271,14,120244,"Horizontal Extrafamilial"
120206,13,0,271,5,120204,"Horizontal Extrafamilial"
120206,13,0,271,10,120225,"Horizontal Extrafamilial"
120206,13,0,271,1,120249,"Horizontal Extrafamilial"
120206,13,0,271,4,120224,"Horizontal Extrafamilial"
120206,13,0,271,2,120261,"Horizontal Intrafamilial"
120206,13,0,271,1,120207,"Horizontal Extrafamilial"
120206,13,0,271,1,240,"Oblique Extrafamilial"
120206,13,0,271,3,120,"Horizontal Extrafamilial"
120207,13,0,273,4,120261,"Horizontal Extrafamilial"
120207,13,0,273,35,120241,"Horizontal Intrafamilial"
